Index	Inst	Lead PI	MemberID	NIH Total (2010-2014)	NCI Total (2010-2014)	Other NIH (2010-2014)	NIH 2010	NCI 2010	Other NIH 2010	NIH 2011	NCI 2011	Other NIH 2011	NIH 2012	NCI 2012	Other NIH 2012	NIH 2013	NCI 2013	Other NIH 2103	NIH 2014	NCI 2014	Other NIH 2014
1	Cold Spring Harbor	STILLMAN, BRUCE W.	28	$45,091,275.00	$41,734,917.00	3356358	5615871	4970981	644890	9910493	9272349	638144	9998705	9302305	696400	9415424	8739225	676199	$10,150,782.00	$9,450,057.00	700725
2	Cold Spring Harbor	HANNON, GREGORY J	10	$35,534,691.00	$29,594,364.00	5940327	10319327	7356079	2963248	6074176	5724574	349602	6649410	5751195	898215	5961971	5312415	649556	$6,529,807.00	$5,450,101.00	1079706
3	Cold Spring Harbor	POWERS, SCOTT	22	$9,816,555.00	$9,816,555.00	0	3243064	3243064	0	910549	910549	0	1848928	1848928	0	1982779	1982779	0	$1,831,235.00	$1,831,235.00	0
4	Feinstein Institute	VINCIGUERRA, VINCENT P	85	$3,574,412.00	$3,574,412.00	0	617929	617929	0	599459	599459	0	611448	611448	0	711448	711448	0	$1,034,128.00	$1,034,128.00	0
5	Cold Spring Harbor	TUVESON, DAVID A.	31	$955,711.00	$955,711.00	0	0	0	0	0	0	0	0	0	0	0	0	0	$955,711.00	$955,711.00	0
6	Cold Spring Harbor	MILLS, ALEA A	20	$2,701,332.00	$2,417,832.00	283500	348600	348600	0	513174	513174	0	557613	557613	0	185045	185045	0	$1,096,900.00	$813,400.00	283500
7	Cold Spring Harbor	TONKS, NICHOLAS K	29	$5,301,303.00	$3,629,401.00	1671902	1121540	712640	408900	1092202	687770	404432	1196291	761643	434648	1145636	721714	423922	$745,634.00	$745,634.00	0
8	Cold Spring Harbor	LOWE, SCOTT W.		$8,008,730.00	$7,655,597.00	353133	2408288	2055155	353133	1989224	1989224	0	1530207	1530207	0	1448857	1448857	0	$632,154.00	$632,154.00	0
9	Cold Spring Harbor	KRAINER, ADRIAN R	14	$6,250,847.00	$2,913,375.00	3337472	1286979	630042	656937	595451	595451	0	1532632	568687	963945	1528631	546399	982232	$1,307,154.00	$572,796.00	734358
10	Cold Spring Harbor	VAKOC, CHRISTOPHER	32	$1,081,623.00	$1,081,623.00	0	0	0	0	0	0	0	0	0	0	549047	549047	0	$532,576.00	$532,576.00	0
11	Cold Spring Harbor	SPECTOR, DAVID L	26	$4,945,718.00	$1,280,363.00	3665355	771494	0	771494	687053	0	687053	1172543	432183	740360	1142327	422163	720164	$1,172,301.00	$426,017.00	746284
12	Cold Spring Harbor	GRODZICKER, TERRI I.		$2,992,942.00	$1,897,559.00	1095383	835301	462824	372477	463725	186496	277229	564821	419936	144885	551035	408067	142968	$578,060.00	$420,236.00	157824
13	Cold Spring Harbor	TROTMAN, LLOYD C	30	$1,508,935.00	$1,508,935.00	0	288840	288840	0	240475	240475	0	301376	301376	0	286069	286069	0	$392,175.00	$392,175.00	0
14	Cold Spring Harbor	EGEBLAD, MIKALA	4	$980,494.00	$980,494.00	0	0	0	0	0	0	0	357437	357437	0	312305	312305	0	$310,752.00	$310,752.00	0
15	Cold Spring Harbor	ANCZUKOW-CAMARDA, OLGA		$213,096.00	$213,096.00	0	0	0	0	0	0	0	0	0	0	107088	107088	0	$106,008.00	$106,008.00	0
16	Feinstein Institute	MCDONALD, ALICIA C	206	$318,374.00	$318,374.00	0	0	0	0	0	0	0	0	0	0	229132	229132	0	$89,242.00	$89,242.00	0
17	Cold Spring Harbor	BHAGWAT, ANAND		$26,676.00	$26,676.00	0	0	0	0	0	0	0	0	0	0	0	0	0	$26,676.00	$26,676.00	0
18	Cold Spring Harbor	STEWART, DAVID J.		$3,416,014.00	$327,832.00	3088182	583092	177268	405824	524107	100064	424043	723268	13500	709768	766929	19000	747929	$818,618.00	$18,000.00	800618
19	Cold Spring Harbor	KRASNITZ, ALEXANDER	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	Feinstein Institute	DIEFENBACH, MICHAEL A	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	Cold Spring Harbor	HWANG, CHANG-IL		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	Cold Spring Harbor	BAKER, LINDSEY A		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	Feinstein Institute	AL-ABED, YOUSEF		315400	0	315400	0	0	0	0	0	0	315400	0	315400	0	0	0	0	0	0
24	Feinstein Institute	ARANOW, CYNTHIA		4396315	0	4396315	4114115	0	4114115	0	0	0	0	0	0	0	0	0	282200	0	282200
25	Feinstein Institute	ARGYELAN, MIKLOS		491565	0	491565	491565	0	491565	0	0	0	0	0	0	0	0	0	0	0	0
26	Feinstein Institute	BLADER, JOSEPH C		249000	0	249000	249000	0	249000	0	0	0	0	0	0	0	0	0	0	0	0
27	Feinstein Institute	BLOOM, ONA		1426338	0	1426338	611448	0	611448	0	0	0	711448	0	711448	103442	0	103442	0	0	0
28	Feinstein Institute	BONAGURA, VINCENT ROBERT		5013933	0	5013933	517195	0	517195	930686	0	930686	617929	0	617929	1921298	0	1921298	1026825	0	1026825
29	Feinstein Institute	BRAGA, RAPHAEL J		647500	0	647500	328680	0	328680	318820	0	318820	0	0	0	0	0	0	0	0	0
30	Feinstein Institute	BREGMAN, JOEL DONALD		328680	0	328680	328680	0	328680	0	0	0	0	0	0	0	0	0	0	0	0
31	Feinstein Institute	BUDMAN, CATHY		332000	0	332000	332000	0	332000	0	0	0	0	0	0	0	0	0	0	0	0
32	Feinstein Institute	BURDICK, KATHERINE ELIZABETH		576270	0	576270	288135	0	288135	288135	0	288135	0	0	0	0	0	0	0	0	0
33	Feinstein Institute	CARBON-CORRELL, MAREN		288135	0	288135	288135	0	288135	0	0	0	0	0	0	0	0	0	0	0	0
34	Feinstein Institute	CHAVAN, SANGEETA S		246839	0	246839	0	0	0	0	0	0	0	0	0	0	0	0	246839	0	246839
35	Feinstein Institute	CHEN, ANDREW C.		186088	0	186088	0	0	0	0	0	0	0	0	0	0	0	0	186088	0	186088
36	Feinstein Institute	CHEN, ELI		240422	0	240422	240422	0	240422	0	0	0	0	0	0	0	0	0	0	0	0
37	Feinstein Institute	CHIORAZZI, NICHOLAS	63	1968298	1112548	855750	1254648	398898	855750	394997	394997	0	318653	318653	0	0	0	0	0	0	0
38	Feinstein Institute	COMPTON, MICHAEL T		1342444	0	1342444	0	0	0	0	0	0	0	0	0	345425	0	345425	997019	0	997019
39	Feinstein Institute	CORNBLATT, BARBARA A.		4777546	0	4777546	542147	0	542147	438536	0	438536	1066103	0	1066103	878532	0	878532	1852228	0	1852228
40	Feinstein Institute	CORRELL, CHRISTOPH U		1554450	0	1554450	266346	0	266346	451667	0	451667	526369	0	526369	157680	0	157680	152388	0	152388
41	Feinstein Institute	CZURA, CHRISTOPHER J		492005	0	492005	0	0	0	492005	0	492005	0	0	0	0	0	0	0	0	0
42	Feinstein Institute	D'AMORE, JASON		8690	0	8690	8690	0	8690	0	0	0	0	0	0	0	0	0	0	0	0
43	Feinstein Institute	DAVIDSON, ANNE		5358947	0	5358947	1332984	0	1332984	1099435	0	1099435	955624	0	955624	955786	0	955786	1015118	0	1015118
44	Feinstein Institute	DAVIES, PETER P		1675399	0	1675399	336897	0	336897	323826	0	323826	323826	0	323826	345425	0	345425	345425	0	345425
45	Feinstein Institute	DEGIORGIO, LORRAINE A		497118	0	497118	106309	0	106309	183260	0	183260	207549	0	207549	0	0	0	0	0	0
46	Feinstein Institute	DEROSSE, PAMELA		810154	0	810154	78192	0	78192	249000	0	249000	246787	0	246787	236175	0	236175	0	0	0
47	Feinstein Institute	DEWEY, STEPHEN L		268272	0	268272	134136	0	134136	134136	0	134136	0	0	0	0	0	0	0	0	0
48	Feinstein Institute	DHAWAN, VIJAY		674552	0	674552	131694	0	131694	135645	0	135645	136824	0	136824	132978	0	132978	137411	0	137411
49	Feinstein Institute	DIAMOND, BETTY		18555023	0	18555023	3649906	0	3649906	3838833	0	3838833	3227266	0	3227266	591276	0	591276	7247742	0	7247742
50	Feinstein Institute	DRUZ, DAVID S		3815	0	3815	3815	0	3815	0	0	0	0	0	0	0	0	0	0	0	0
51	Feinstein Institute	EIDELBERG, DAVID		16571957	0	16571957	3005601	0	3005601	3409919	0	3409919	3488235	0	3488235	3189983	0	3189983	3478219	0	3478219
52	Feinstein Institute	ETTINGER, ALAN		1695	0	1695	1695	0	1695	0	0	0	0	0	0	0	0	0	0	0	0
53	Feinstein Institute	FARINA, GINO		64	0	64	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0
54	Feinstein Institute	FEIGIN, ANDREW S		4526544	0	4526544	854401	0	854401	508161	0	508161	588670	0	588670	1224231	0	1224231	1351081	0	1351081
55	Feinstein Institute	FRANCHIN, GIOVANNI		453028	0	453028	148578	0	148578	152225	0	152225	152225	0	152225	0	0	0	0	0	0
56	Feinstein Institute	FREUDENBERG, JAN		246228	0	246228	0	0	0	0	0	0	83625	0	83625	80038	0	80038	82565	0	82565
57	Feinstein Institute	FURIE, RICHARD		3392	0	3392	3392	0	3392	0	0	0	0	0	0	0	0	0	0	0	0
58	Feinstein Institute	GALLEGO, JUAN ANDRES		361045	0	361045	0	0	0	0	0	0	0	0	0	181092	0	181092	179953	0	179953
59	Feinstein Institute	GLUCK, MARK A		504688	0	504688	100656	0	100656	100700	0	100700	101921	0	101921	99054	0	99054	102357	0	102357
60	Feinstein Institute	GOLDBERG, TERRY		3787464	0	3787464	788560	0	788560	1048436	0	1048436	1277333	0	1277333	256023	0	256023	417112	0	417112
