Index	Author	MemberID	First/Last Author	Authors	Title	Citation	Year	PMID	Tumor Type(s)
1	Steinberg, Bettie	82	L	Bosch FX, Broker TR, Forman D, Moscicki AB, Gillison ML, Doorbar J, Stern PL, Stanley M, Arbyn M, Poljak M, Cuzick J, Castle PE, Schiller JT, Markowitz LE, Fisher WA, Canfell K, Denny LA, Franco EL, Steben M, Kane MA, Schiffman M, Meijer CJ, Sankaranarayanan R, Castellsagué X, Kim JJ, Brotons M, Alemany L, Albero G, Diaz M, de Sanjosé S;Authors of the ICO Monograph 'Comprehensive Control of HPV Infections and Related Diseases' Vaccine Volume 30, Supplement 5, 2012. 	Comprehensive control of human papillomavirus infections and related diseases.	Vaccine. 2013 Nov 22;31 Suppl 8:I1-31. 	2013	24229716	Anal;Penile;Vulvar;Head & Neck;Cervix
2	Steinberg, Bettie	82	L	Bosch FX, Broker TR, Forman D, Moscicki AB, Gillison ML, Doorbar J, Stern PL, Stanley M, Arbyn M, Poljak M, Cuzick J, Castle PE, Schiller JT, Markowitz LE, Fisher WA, Canfell K, Denny LA, Franco EL, Steben M, Kane MA, Schiffman M, Meijer CJ, Sankaranarayanan R, Castellsagué X, Kim JJ, Brotons M, Alemany L, Albero G, Diaz M, de Sanjosé S;ICO Monograph 'Comprehensive Control of HPV Infections and Related Diseases' Vaccine Volume 30, Supplement 5, 2012. 	Comprehensive control of human papillomavirus infections and related diseases.	Vaccine. 2013 Dec 30;31 Suppl 6:G1-31. 	2013	24331817	Anal;Penile;Vulvar;Head & Neck;Cervix
3	Steinberg, Bettie	82	L	Bosch FX, Broker TR, Forman D, Moscicki AB, Gillison ML, Doorbar J, Stern PL, Stanley M, Arbyn M, Poljak M, Cuzick J, Castle PE, Schiller JT, Markowitz LE, Fisher WA, Canfell K, Denny LA, Franco EL, Steben M, Kane MA, Schiffman M, Meijer CJ, Sankaranarayanan R, Castellsagué X, Kim JJ, Brotons M, Alemany L, Albero G, Diaz M, de Sanjosé S;authors of ICO Monograph Comprehensive Control of HPV Infections and Related Diseases Vaccine Volume 30, Supplement 5, 2012. 	Comprehensive control of human papillomavirus infections and related diseases.	Vaccine. 2013 Dec 31;31 Suppl 7:H1-31. 	2013	24332295	Anal;Penile;Vulvar;Head & Neck;Cervix
4	Symons, Marc	83		van der Meel R, Symons MH, Kudernatsch R, Kok RJ, Schiffelers RM, Storm G, Gallagher WM, Byrne AT.	The VEGF/Rho GTPase signalling pathway: a promising target for anti-angiogenic/anti-invasion therapy.	Drug Discov Today. 2011 Mar;16(5-6):219-28.	2011	21262381	Any
5	Enikolopov, Grigori;Mills, Alea A.	20;5	L	Keyes WM, Pecoraro M, Aranda V, Vernersson-Lindahl E, Li W, Vogel H, Guo X, Garcia EL, Michurina TV, Enikolopov G, Muthuswamy SK, Mills AA.	ΔNp63α is an oncogene that targets chromatin remodeler Lsh to drive skin stem cell proliferation and tumorigenesis.	Cell Stem Cell. 2011 Feb 4;8(2):164-76. 	2011	21295273	Any
6	Trotman, Lloyd	30	F	Trotman, L. C. 	Calling on the cancer sleuths: how cell biologists will do the detective legwork of the postcancer genome era.	Mol Biol Cell. 2011 Mar 15;22(6):715.	2011	21406578	Any
7	Tonks, Nicholas	29	F	Tonks, N. and Lucito, R. 	Global assessment of the protein tyrosine phosphatome in cancer.	Cell. 2011 Sep 2;146(5):826-40.	2014	21884940	Any
8	Budman, Daniel;Lesser, Martin;Bradley, Thomas;Barginear, Myra	69;98;143;62	F/L	Barginear MF, Gralla RJ, Bradley TP, Ali SS, Shapira I, Greben C, Nier-Shoulson N, Akerman M, Lesser M, Budman DR.	Investigating the benefit of adding a vena cava filter to anticoagulation with fondaparinux sodium in patients with cancer and venous thromboembolism in a prospective randomized clinical trial.	Support Care Cancer. 2012 Nov;20(11):2865-72.	2012	22421738	Any
9	Boockvar, John Andrew	189	L	Banu MA, Shin BJ, Boockvar JA.	Dissecting the perivascular stem-cell niche: can we take tumor recurrence down a NOTCH?	Neurosurgery. 2012 Apr;70(4):N18-9. 	2012	22426056	Any
10	Hoffman, Mark	135	F	Hoffman MA, Raftopoulos H, Roy R.	Oncologists as primary palliative care providers.	J Clin Oncol. 2012 Aug 1;30(22):2801-2;author reply 2802. 	2012	22753912	Any
11	Atwal, Gurinder	1	L	Fendler, B. and Atwal, G. 	Systematic deciphering of cancer genome networks.	Yale Journal of Biology and Medicine, 85(3) pp. 339-45.	2012	23012582	Any
12	Wigler, Michael	34		Donnenberg, A. D. and Hicks, J. B. and Wigler, M. and Donnenberg, V. S. 	The Cancer Stem Cell: Cell Type or Cell State?. 	Cytometry Part A, 83A(SI 1) pp. 5-7.	2013	23081699	Any
13	Raftopoulos, Haralambos	100		Fields SZ, Parshad S, Anne M, Raftopoulos H, Alexander MJ, Sherman ML, Laadem A, Sung V, Terpos E.	Activin receptor antagonists for cancer-related anemia and bone disease.	Expert Opin Investig Drugs. 2013 Jan;22(1):87-101. 	2013	23127248	Any
14	Koulakov, Alexei	47	F	Koulakov AA, Lazebnik Y.	The problem of colliding networks and its relation to cell fusion and cancer.	Biophys J. 2012 Nov 7;103(9):2011-20.	2012	23199929	Any
15	Joshua-Tor, Leemor;Hammell, Molly;Mills, Alea A.;McCombie, W. Richard	20;19;12;9	L	Paul S, Kuo A, Schalch T, Vogel H, Joshua-Tor L, McCombie WR, Gozani O, Hammell M, Mills AA.	Chd5 requires PHD-mediated histone 3 binding for tumor suppression.	Cell Rep. 2013 Jan 31;3(1):92-102.	2013	23318260	Any
16	Krainer, Adrian R.	14	L	Fregoso, O. I. and Das, S. and Akerman, M. and Krainer, A. R. 	Splicing-Factor Oncoprotein SRSF1 Stabilizes p53 via RPL5 and Induces Cellular Senescence. 	Molecular Cell, 50(1) pp. 56-66.	2013	23478443	Any
17	Budman, Daniel;Bradley, Thomas	62;98	L	Kritharis A, Bradley TP, Budman DR.	The evolving use of arsenic in pharmacotherapy of malignant disease.	Ann Hematol. 2013 Jun;92(6):719-30. 	2013	23494203	Any
