Index	Inst	Title	PI	Local PI	MemberID	Phase	Sponsor	Sponsor Type	Type	Age	Trial IDs	Tumor Type(s)
1	Fred Hutch	MRI and Gene Expression in Diagnosing Patients with Ductal Breast Cancer In Situ	Constance D. Lehman	Habib Rahbar		No phase specified	ECOG-ACRIN Cancer Research Group; NCI	Coop Group; NCI	 Diagnostic, Natural history/Epidemiology	 18 and over	 E4112, NCI-2014-01261, ECOG-E4112, NCT02352883	Breast
2	Fred Hutch	Brentuximab Vedotin and Combination Chemotherapy in Treating Patients with Stage II-IV HIV-Associated Hodgkin Lymphoma	Paul G. Rubinstein	Manoj Menon		Phase I/II	National Cancer Institute	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 AMC-085, NCI-2013-00046, 085, 2014-003678-18, PAMC-085_A05PAMDREVW01, NCT01771107	Lymphoma
3	Fred Hutch	Fludarabine and Total-Body Irradiation Followed By Donor Stem Cell Transplant and Cyclosporine and Mycophenolate Mofetil in Treating HIV-Positive Patients With or Without Cancer	Ann Elizabeth Woolfrey	Ann Elizabeth Woolfrey		No phase specified	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 Under 65	 1410.00, NCI-2010-00802, FHCRC-1410.00, NCT00112593	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
4	Fred Hutch	Collecting and Studying Blood and Tissue Samples from Patients with Locally Recurrent or Metastatic Prostate or Bladder/Urothelial Cancer	Robert Bruce Montgomery	Robert Bruce Montgomery		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Biomarker/Laboratory analysis	 18 and over	 6932, NCI-2014-01087, 6932p, NCT01050504	Bladder; Prostate; Urinary Tract; Mets
5	Fred Hutch	A Multicenter Access and Distribution Protocol for Unlicensed Cryopreserved Cord Blood Units (CBUs)	Ann Elizabeth Woolfrey	Ann Elizabeth Woolfrey		No phase specified	Center for International Blood and Marrow Transplant Research; National Marrow Donor Program	Other; NCI	 Health services research, Supportive care	 Any age	 10-CBA, NCI-2014-02344, NCI-2013-01898, NCI-2014-01018, NCT01351545	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
6	Fred Hutch	Pazopanib Hydrochloride Followed by Chemotherapy and Surgery in Treating Patients with Soft Tissue Sarcoma	Darin Davidson	Darin Davidson		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7487, NCI-2011-02488, NCT01446809	Sarcoma
7	Fred Hutch	Collecting and Storing Residual Tissue, Blood, and Body Fluids in Patients with Cancer	James H. Doroshow	Stephen Schmechel		No phase specified	National Cancer Institute	NCI	 Tissue collection/Repository	 18 and over	 06-C-0213, NCI-2013-02055, 060213, 06C0213-H, 334184, P7002, NCT00900198	Any
8	Fred Hutch	Home-Based or Clinic-Based Human Papillomavirus (HPV) Screening	Nancy Kiviat	Nancy Kiviat		No phase specified	University of Washington Medical Center; NCi	IIT; NCI	 Diagnostic, Health services research, Screening	 21 and over	 7489, NCI-2013-00745, NCT01550783	Cervix
9	Fred Hutch	Laboratory-Treated Donor Cord Blood Cell Infusion Following Combination Chemotherapy in Treating Younger Patients with Relapsed or Refractory Acute Myeloid Leukemia	Ann E Dahlberg	Ann E Dahlberg		No phase specified	Fred Hutchinson Cancer Research Center; NCI; Seattle Children’s Research Institute Center for Clinical and Translational Research	IIT; NCI; Other	 Treatment	 2 to 30	 2584.00, NCI-2012-01724, 2378, 2584, NCT01701323	Leukemia
10	Fred Hutch	Cabozantinib in Treating Men With Castration-Resistant Prostate Cancer	Celestia Savoye Higano	Celestia Savoye Higano		No phase specified	Fred Hutchinson Cancer Research Center/University of Washington Cancer Consortium; Prostate Cancer Foundation; NCI	IIT; NCI; Other	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7819, NCI-2012-01898, NCT01703065	Prostate
