Serial.Number	Project.Title	Tumor.Type	Administering..IC	Application.ID	Project.Number	Type	Activity	IC	Support.Year	Suffix	Subproject.Number	Contact.PI..Person.ID	Contact.PI...Project.Leader	PI.Trim	MemberID	Other.PI.or.Project.Leader.s.	Organization.Name	ARRA.Indicator	FY	FY.Total.Cost	FY.Total.Cost...Sub.Projects.	FY.Total
18029	ADULT LEUKEMIA RESEARCH CENTER		NCI	7792303	5P01CA018029-35	5	P01	CA	35		NA	1878414	APPELBAUM, FREDERICK 	APPELBAUM, FREDERICK	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	4628534	NA	4628534
69246	BLOOD AND MARROW CLINICAL RESEARCH NETWORK		NHLBI	7891354	5U01HL069246-10	5	U01	HL	10		NA	1878414	APPELBAUM, FREDERICK 	APPELBAUM, FREDERICK	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	150505	NA	150505
112530	METABOLIC SYNDROME FOLLOWING TRANSPLANT FOR LEUKEMIA		NCI	7937785	5R01CA112530-05	5	R01	CA	5		NA	6185546	BAKER, KEVIN S	BAKER, KEVIN S	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	486075	NA	486075
76973	DEVELOPMENT AND SAFETY EVALUATION OF CHEMO-PROTECTIVE GENE THERAPY VECTORS		NIDDK	7905203	5K01DK076973-04	5	K01	DK	4		NA	7905885	BEARD, BRIAN C	BEARD, BRIAN C	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	141731	NA	141731
35002	EVIDENCE FOR ESTABLISHING OPTIMUM PROTEIN INTAKE IN OLDER ADULTS		NIA	8183812	7K99AG035002-02	7	K99	AG	2		NA	9739201	BEASLEY, JEANNETTE MICHELE	BEASLEY, JEANNETTE MICHELE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	105333	NA	105333
129132	DEVELOPMENT OF CAMBINOL ANALOGUES AS ANTILYMPHOMA AGENTS		NCI	7768411	5R01CA129132-03	5	R01	CA	3		NA	6116460	BEDALOV, ANTONIO 	BEDALOV, ANTONIO	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	365200	NA	365200
120719	MARKERS FOR HCV-RELATED HCC: PLASMA PROFILING; TARGETED STRATEGIES AND VALIDATION		NCI	7813866	5R01CA120719-02	5	R01	CA	2		NA	6625582	BERETTA, LAURA 	BERETTA, LAURA	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	365200	NA	365200
66840	NOVEL MARKERS FOR HCV-RELATED HCC		NIDDK	7994250	3R01DK066840-05S2	3	R01	DK	5	S2	NA	6625582	BERETTA, LAURA 	BERETTA, LAURA	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	YES	2010	100000	NA	100000
9351	PEDIARIC ONCOLOGY RESEARCH TRAINING PROGRAM		NCI	7880948	5T32CA009351-32	5	T32	CA	32		NA	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	218479	NA	218479
76930	CAREER DEVELOPMENT IN PEDIATRIC AND MEDICAL ONCOLOGY		NCI	7924617	5K12CA076930-12	5	K12	CA	12		NA	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	534606	NA	534606
5480	CORE E: XENOGRAFTING		NIDDK	8066126	2P30DK056465-12	2	P30	DK	12		5480	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	136023	136023
80245	NOTCH EFFECTS ON HEMATOPOIETIC REPOPULATING CELLS		NHLBI	7862594	5R01HL080245-05	5	R01	HL	5		NA	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	419958	NA	419958
1	CELL FATE BY NOTCH LIGANDS		NHLBI	8069563	5P01HL084205-04	5	P01	HL	4		1	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	476734	476734
9001	CORE--CELL SEPARATION AND QUANTATIVE TRANSPLANTATION		NHLBI	8069566	5P01HL084205-04	5	P01	HL	4		9001	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	462013	462013
9002	CORE A: ADMINSTRATION CORE		NHLBI	8069567	5P01HL084205-04	5	P01	HL	4		9002	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	70649	70649
84205	MOLECULAR CONTROL OF HEMATOPOIETIC STEM CELL FATE		NHLBI	7848324	5P01HL084205-04	5	P01	HL	4		NA	1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	1925759	NA	1925759
100395	EXPANSION OF CARDIAC AND HEMATOPOIETIC PREGENITORS BY WNT AND NOTCH		NHLBI	7939768	5U01HL100395-02	5	U01	HL	2		NA	1876467	BERNSTEIN, IRWIN D. 	BERNSTEIN, IRWIN D.	NA	MOON, RANDALL TODD	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	1197348	NA	1197348
19319	MECHANISMS OF ENVIRONMENTAL AND NUCLEAR AND MITOCHONDRIAL MUTAGENESIS		NIEHS	7985127	1R01ES019319-01	1	R01	ES	1		NA	8962560	BIELAS, JASON H.	BIELAS, JASON H.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	597220	NA	597220
64386	REGULATION OF CHROMOSOME SEGREGATION		NIGMS	7907596	5R01GM064386-09	5	R01	GM	9		NA	1882250	BIGGINS, SUSAN 	BIGGINS, SUSAN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	316122	NA	316122
78069	REGULATION OF CENTROMERIC CHROMATIN		NIGMS	7740868	5R01GM078069-03	5	R01	GM	3		NA	1882250	BIGGINS, SUSAN 	BIGGINS, SUSAN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	307382	NA	307382
68424	DEFINING IMMUNE DEFICITS IN HIV-1 INFECTED WOMEN		NIAID	7766258	5K08AI068424-05	5	K08	AI	5		NA	1900613	BLISH, CATHERINE A	BLISH, CATHERINE A	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	123660	NA	123660
9004	BARRETT'S COHORT MANAGEMENT AND SAFETY		NCI	8100332	5P01CA091955-09	5	P01	CA	9		9004	7355051	BLOUNT, PATRICIA L	BLOUNT, PATRICIA L	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	807406	807406
9014	MICROBIOLOGY AND VIROLOGY CORE		NCI	8073195	5P01CA018029-35	5	P01	CA	35		9014	9253407	BOECKH, MICHAEL J	BOECKH, MICHAEL J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	262461	262461
93294	INFECTIONS IN HEMATOPOIETIC CELL TRANSPLANT RECIPIENTS		NHLBI	7924570	5K24HL093294-02	5	K24	HL	2		NA	7746372	BOECKH, MICHAEL J	BOECKH, MICHAEL J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	181681	NA	181681
102547	A RANDOMZIED PHASE II TRIAL OF CMV PREVENTION IN ACUTE LUNG INJURY		NHLBI	7882755	1U01HL102547-01	1	U01	HL	1		NA	7746372	BOECKH, MICHAEL J 	BOECKH, MICHAEL J	NA	LIMAYE, ABHIJIT PRAKASH;RUBENFELD, GORDON D	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	1240314	NA	1240314
88277	PREDICTING PROTEIN-DNA INTERACTIONS WITH STRUCTURAL MODELS		NIGMS	7910393	5R01GM088277-02	5	R01	GM	2		NA	7003267	BRADLEY, PHILIP 	BRADLEY, PHILIP	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	329314	NA	329314
41073	CELL CYCLE REGULATION OF THE YEAST HO GENE		NIGMS	7791281	5R01GM041073-21	5	R01	GM	21		NA	1880321	BREEDEN, LINDA L.	BREEDEN, LINDA L.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	619793	NA	619793
54498	LATE EFFECTS OF TREATMENT IN WILMS TUMOR SURVIVORS AND OFFSPRING		NCI	7753920	5R01CA054498-19	5	R01	CA	19		NA	1879192	BRESLOW, NORMAN E	BRESLOW, NORMAN E	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	1041309	NA	1041309
151251	ACCEPTANCE & COMMITMENT THERAPY FOR SMOKING CESSATION		NCI	7942479	1R01CA151251-01	1	R01	CA	1		NA	7905616	BRICKER, JONATHAN B.	BRICKER, JONATHAN B.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	711208	NA	711208
9324	MOLECULAR MECHANISMS OF OLFACTION IN MAMMALS		NIDCD	7727381	5R01DC009324-03	5	R01	DC	3		NA	1946339	BUCK, LINDA B	BUCK, LINDA B	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	370260	NA	370260
85288	NONMYELOABLATIVE ALLOGRAFTING FOR IMMUNODEFICIENCY & OTHER NONMALIGNANT DISORDERS		NHLBI	7799046	5K23HL085288-04	5	K23	HL	4		NA	7719909	BURROUGHS, LAURI M.	BURROUGHS, LAURI M.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	136485	NA	136485
86517	MECHANISMS CONTROLLING CELL CYCLE EXIT UPON TERMINAL DIFFERENTIATION		NIGMS	7741206	5K99GM086517-02	5	K99	GM	2		NA	7983054	BUTTITTA, LAURA A	BUTTITTA, LAURA A	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	90000	NA	90000
6190	GENETICS		NCI	7881275	1P50CA148143-01	1	P50	CA	1		6190	8512041	CARLSON, CHRISTOPHER S	CARLSON, CHRISTOPHER S	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	2661	2661
88531	ASSESSING THE IMPACT OF RARE POLYMORPHISM AT CRP ON CRP LEVELS & ATHEROSCLEROSIS		NHLBI	7777325	5R01HL088531-03	5	R01	HL	3		NA	8512041	CARLSON, CHRISTOPHER S	CARLSON, CHRISTOPHER S	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	440000	NA	440000
138165	IMPACT OF HIV AND HHV-8 CO-INFECTION ON ANTIRETROVIRAL THERAPY EFFICACY IN AFRICA		NCI	7838081	1R01CA138165-01A2	1	R01	CA	1	A2	NA	7087903	CASPER, COREY 	CASPER, COREY	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	346681	NA	346681
153720	BUILDING SUSTAINABLE TRANSLATIONAL RESEARCH TEAMS IN HIV-ASSOCIATED MALIGNANCIES		NCI	8009658	1D43CA153720-01	1	D43	CA	1		NA	7087903	CASPER, COREY 	CASPER, COREY	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	537636	NA	537636
7873	PILOT PROJECT		NCI	8034120	1U54CA153502-01	1	U54	CA	1		7873	7706911	CEBALLOS, RACHEL M	CEBALLOS, RACHEL M	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	64481	64481
154967	CANCER IMMUNOTHERAPY TRIALS NETWORK CENTRAL OPERATIONS AND STATISTICAL CENTER		NCI	8034073	1U01CA154967-01	1	U01	CA	1		NA	9462955	CHEEVER, MARTIN ALEXANDER	CHEEVER, MARTIN ALEXANDER	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	1523677	NA	1523677
95419	ORAL CANCER: MOLECULAR PROFILES & CLINICAL OUTCOMES		NCI	7911812	5R01CA095419-07	5	R01	CA	7		NA	6564729	CHEN, CHU 	CHEN, CHU	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	YES	2010	976944	NA	976944
111703	MOLECULAR EPIDEMIOLOGY OF LUNG CANCER		NCI	7937984	5R01CA111703-05	5	R01	CA	5		NA	6564729	CHEN, CHU 	CHEN, CHU	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	386463	NA	386463
89341	STATISTICAL METHODS IN HIV/AIDS RESEARCH		NIAID	8012800	1R01AI089341-01A1	1	R01	AI	1	A1	NA	6713521	CHEN, YING QING	CHEN, YING QING	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	443292	NA	443292
8521	BIOMARKERS AND TARGETED THERAPY OF BRONCHIOLITIS OBLITERANS		NIAID	8134955	5U54AI083028-02	5	U54	AI	2		8521	6787292	CHIEN, JASON W	CHIEN, JASON W	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	259347	259347
88201	GENETIC ANALYSIS OF AIRFLOW OBSTRUCTION AFTER STEM CELL TRANSPLANTATION		NHLBI	7842531	5R01HL088201-03	5	R01	HL	3		NA	1876459	CLARK, JOAN G.	CLARK, JOAN G.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	440000	NA	440000
91246	EPITHELIAL CELL BACTERCIDAL/PERMEABILITY INCREASING PROTEIN IN LUNG INJURY		NHLBI	7844981	5R21HL091246-02	5	R21	HL	2		NA	1876459	CLARK, JOAN G.	CLARK, JOAN G.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	YES	2010	264000	NA	264000
84069	TUMOR SUPPRESSION BY THE FBW7 UBIQUITIN LIGASE		NCI	7986202	2R01CA084069-11A1	2	R01	CA	11	A1	NA	1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	365258	NA	365258
102742	NORMAL AND NEOPLASTIC REGULATION OF CYCLIN E		NCI	7750620	5R01CA102742-07	5	R01	CA	7		NA	1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	382446	NA	382446
3	CELL PROLIFERATION AND DIFFERENTIATION BY THE FBW 7 TUMOR SUPPRESSOR		NHLBI	8069565	5P01HL084205-04	5	P01	HL	4		3	1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	451148	451148
7974	CAREER AND MENTORING DEVELOPMENT PROGRAM		NCI	8077363	5P50CA083636-12	5	P50	CA	12		7974	1955371	COLLINS, STEVEN COLLINS 	COLLINS, STEVEN COLLINS	NA	URBAN, NICOLE DENISE	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	68164	68164
9657	CHROMOSOME METABOLISM AND CANCER TRAINING GRANT		NCI	7799215	5T32CA009657-20	5	T32	CA	20		NA	1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	265390	NA	265390
41072	SRC FAMILY KINASES AND CELL GROWTH REGULATION		NCI	7743587	5R01CA041072-25	5	R01	CA	25		NA	1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	567636	NA	567636
66257	FUNCTIONS AND MECHANISMS OF THE ENDOCYTIC ADAPTOR DAB2		NIGMS	7846799	5R01GM066257-07	5	R01	GM	7		NA	1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	414691	NA	414691
8	MECHANISMS OF REACTIVATION AND CLEARANCE OF MUCOSAL HSV INFECTION		NIAID	8130903	5P01AI030731-20	5	P01	AI	20		8	1860045	COREY, LAWRENCE 	COREY, LAWRENCE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	604504	604504
9005	LABORATORY CORE		NIAID	8130907	5P01AI030731-20	5	P01	AI	20		9005	1860045	COREY, LAWRENCE 	COREY, LAWRENCE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	652739	652739
9007	ADMINISTRATIVE CORE		NIAID	8130909	5P01AI030731-20	5	P01	AI	20		9007	1860045	COREY, LAWRENCE 	COREY, LAWRENCE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	98834	98834
42528	CYTOTOXIC T-CELL RESPONSES TO HSV: HIV-INFECTED PERSONS		NIAID	8100631	3R37AI042528-13S1	3	R37	AI	13	S1	NA	1860045	COREY, LAWRENCE 	COREY, LAWRENCE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	54810	NA	54810
42528	CYTOTOXIC T-CELL RESPONSES TO HSV: HIV-INFECTED PERSONS		NIAID	7780436	5R37AI042528-13	5	R37	AI	13		NA	1860045	COREY, LAWRENCE 	COREY, LAWRENCE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	320011	NA	320011
68614	LEADERSHIP GROUP FOR A GLOBAL HIV VACCINE CLINICAL TRIALS NETWORK		NIAID	7904121	5U01AI068614-05	5	U01	AI	5		NA	1860045	COREY, LAWRENCE 	COREY, LAWRENCE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	21443783	NA	21443783
68614	LEADERSHIP GROUP FOR A GLOBAL HIV VACCINE CLINICAL TRIALS NETWORK		NIAID	8048350	3U01AI068614-04S1	3	U01	AI	4	S1	NA	1860045	COREY, LAWRENCE 	COREY, LAWRENCE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	YES	2010	2000000	NA	2000000
6183	SCREENING MAMMOGRAPHY AND LATINAS: A MULTILEVEL INTERVENTION		NCI	7881263	1P50CA148143-01	1	P50	CA	1		6183	1953872	CORONADO, GLORIA D	CORONADO, GLORIA D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	990515	990515
7872	RESEARCH PROJECT		NCI	8034118	1U54CA153502-01	1	U54	CA	1		7872	1953872	CORONADO, GLORIA D	CORONADO, GLORIA D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	482863	482863
38926	SOUTHWEST ONCOLOGY GROUP STATISTICAL CENTER		NCI	7766722	2U10CA038926-25	2	U10	CA	25		NA	1884476	CROWLEY, JOHN J	CROWLEY, JOHN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	4749326	NA	4749326
8	EPIDEMIOLOGY OF HPV-RELATED SCSC IN TRANSPLANT PATIENTS		NCI	8118868	5P01CA042792-22	5	P01	CA	22		8	1885806	DALING, JANET R	DALING, JANET R	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	732085	732085
116400	NIGHT SHIFT WORK AND HORMONE LEVELS IN MEN		NCI	7924720	5R01CA116400-04	5	R01	CA	4		NA	1880463	DAVIS, SCOTT 	DAVIS, SCOTT	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	841297	NA	841297
118914	BREAST CANCER RISK AND MOLECULAR CHANGE AFTER CHERNOBYL		NCI	7903911	5R01CA118914-04	5	R01	CA	4		NA	1880463	DAVIS, SCOTT 	DAVIS, SCOTT	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	235007	NA	235007
56818	ROLE OF AIR POLLUTION IN RHEUMATOID ARTHRITIS INCIDENCE AND EXACERBATION		NIAMS	7875937	1R03AR056818-01A1	1	R03	AR	1	A1	NA	1900926	DE ROOS, ANNECLAIRE J	DE ROOS, ANNECLAIRE J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	88000	NA	88000
83449	A NEW EPIGENOME PROFILING METHOD FOR THE STUDY OF CELL FATE SPECIFICATION		NIGMS	7752859	5F32GM083449-03	5	F32	GM	3		NA	7308887	DEAL, ROGER BANCROFT	DEAL, ROGER BANCROFT	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	52154	NA	52154
16	ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTATION FOR MYELODYSPLASTIC SYNDROMES		NHLBI	8131710	5P01HL036444-30	5	P01	HL	30		16	1895223	DEEG, H. JOACHIM	DEEG, H. JOACHIM	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	164827	164827
95999	HEMATOPOIETIC CELL TRANSPLANTATION AND IRON OVERLOAD		NHLBI	7888104	1R01HL095999-01A1	1	R01	HL	1	A1	NA	1895223	DEEG, H. JOACHIM	DEEG, H. JOACHIM	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	461487	NA	461487
101844	CTRIP:NOTCH-MEDIATED EXPANSION OF CORD BLOOD PROGENITORS FOR CORD BLOOD TRANSPLAN		NHLBI	7939787	5RC2HL101844-02	5	RC2	HL	2		NA	6671989	DELANEY, COLLEEN 	DELANEY, COLLEEN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	YES	2010	1732054	NA	1732054
7968	VACCINATING AGAINST IGFBP-2 TO PREVENT OVARIAN CANCER RELAPSE		NCI	8077357	5P50CA083636-12	5	P50	CA	12		7968	1877623	DISIS, MARY L. 	DISIS, MARY L.	NA	SALAZAR, LUPE G;SWENSEN, RONALD 	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	369911	369911
131651	THE TIME DISTRIBUTION METHOD FOR MEASURING CLINICALLY VALID QUALITY OF LIFE STATE		NCI	7842664	5R21CA131651-02	5	R21	CA	2		NA	8702416	DONALDSON, GARY W.	DONALDSON, GARY W.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	YES	2010	255682	NA	255682
68617	LEADERSHIP FOR HIV/AIDS CLINICAL TRIALS NETWORKS; HIV PREVENTION TRIALS NETWORK		NIAID	7900410	5U01AI068617-05	5	U01	AI	5		NA	8589306	DONNELL, DEBORAH J	DONNELL, DEBORAH J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	4752947	NA	4752947
80894	DNA EXCHANGE DURING STOMACH COLONIZATION BY HELICOBACTER PYLORI		NIDDK	7753208	5K01DK080894-03	5	K01	DK	3		NA	2084417	DORER, MARION SHONN	DORER, MARION SHONN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	102604	NA	102604
90194	GENETIC AND BIOCHEMICAL ANALYSIS OF DNA EXCHANGE IN HELICOBACTER PYLORI		NIDDK	8028833	1R03DK090194-01	1	R03	DK	1		NA	2084417	DORER, MARION SHONN	DORER, MARION SHONN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	32342	NA	32342
7965	TARGETED MICROBUBBLE CONTRAST-ENHANCED ULTRASOUND IMAGING OF THE OVARIAN CANCER V		NCI	8077354	5P50CA083636-12	5	P50	CA	12		7965	6523545	DRESCHER, CHARLES  	DRESCHER, CHARLES	NA	GAMBHIR, SANJIV S	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	279066	279066
7971	PARTICIPANT RECRUITMENT; ENROLLMENT AND CHARACTERIZATION CORE		NCI	8077360	5P50CA083636-12	5	P50	CA	12		7971	6523545	DRESCHER, CHARLES 	DRESCHER, CHARLES	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	NA	264325	264325
19063	IMMUNIZATION OF ORAL MUCOSA FOR INDUCTION OF RECTAL AND GENITAL MUCOSAL IMMUNITY		NIDCR	7848275	5R01DE019063-03	5	R01	DE	3		NA	2068561	DUERR, ANN C	DUERR, ANN C	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2010	523120	NA	523120
