Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
ADULT LEUKEMIA RESEARCH CENTER		NCI	7792303	5P01CA018029-35	5	P01	CA	18029	35			1878414	APPELBAUM, FREDERICK 	APPELBAUM, FREDERICK		Not Applicable	Fred Hutch	 	2010	4628534		4628534
BLOOD AND MARROW CLINICAL RESEARCH NETWORK		NHLBI	7891354	5U01HL069246-10	5	U01	HL	69246	10			1878414	APPELBAUM, FREDERICK 	APPELBAUM, FREDERICK		Not Applicable	Fred Hutch	 	2010	150505		150505
METABOLIC SYNDROME FOLLOWING TRANSPLANT FOR LEUKEMIA		NCI	7937785	5R01CA112530-05	5	R01	CA	112530	5			6185546	BAKER, KEVIN S	BAKER, KEVIN S		Not Applicable	Fred Hutch	 	2010	486075		486075
DEVELOPMENT AND SAFETY EVALUATION OF CHEMO-PROTECTIVE GENE THERAPY VECTORS		NIDDK	7905203	5K01DK076973-04	5	K01	DK	76973	4			7905885	BEARD, BRIAN C	BEARD, BRIAN C		Not Applicable	Fred Hutch	 	2010	141731		141731
EVIDENCE FOR ESTABLISHING OPTIMUM PROTEIN INTAKE IN OLDER ADULTS		NIA	8183812	7K99AG035002-02	7	K99	AG	35002	2			9739201	BEASLEY, JEANNETTE MICHELE	BEASLEY, JEANNETTE MICHELE		Not Applicable	Fred Hutch	 	2010	105333		105333
DEVELOPMENT OF CAMBINOL ANALOGUES AS ANTILYMPHOMA AGENTS		NCI	7768411	5R01CA129132-03	5	R01	CA	129132	3			6116460	BEDALOV, ANTONIO 	BEDALOV, ANTONIO		Not Applicable	Fred Hutch	 	2010	365200		365200
MARKERS FOR HCV-RELATED HCC: PLASMA PROFILING; TARGETED STRATEGIES AND VALIDATION		NCI	7813866	5R01CA120719-02	5	R01	CA	120719	2			6625582	BERETTA, LAURA 	BERETTA, LAURA		Not Applicable	Fred Hutch	 	2010	365200		365200
NOVEL MARKERS FOR HCV-RELATED HCC		NIDDK	7994250	3R01DK066840-05S2	3	R01	DK	66840	5	S2		6625582	BERETTA, LAURA 	BERETTA, LAURA		Not Applicable	Fred Hutch	YES	2010	100000		100000
PEDIARIC ONCOLOGY RESEARCH TRAINING PROGRAM		NCI	7880948	5T32CA009351-32	5	T32	CA	9351	32			1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.		Not Applicable	Fred Hutch	 	2010	218479		218479
CAREER DEVELOPMENT IN PEDIATRIC AND MEDICAL ONCOLOGY		NCI	7924617	5K12CA076930-12	5	K12	CA	76930	12			1876467	BERNSTEIN, IRWIN D.	BERNSTEIN, IRWIN D.		Not Applicable	Fred Hutch	 	2010	534606		534606
