Serial Number	Project Title	Tumor Type(s)	Administering  IC	Application ID	Project Number	Type	Activity	IC	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
190092	(PQA-4) ORGANOID OMICS TO DETECT AND DEFEAT DUCTAL PANCREATIC CANCER	Pancreas	NCI	8792084	1R01CA190092-01	1	R01	CA	1			8586909	TUVESON, DAVID A.	TUVESON, DAVID A.	31	Not Applicable	Cold Spring Harbor	 	2014	555711		555711
102309	2/2-PRAMIPEXOLE IN BIPOLAR DISORDER: TARGETING COGNITION		NIMH	8896869	5R01MH102309-02	5	R01	MH	2			3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2015	294875		294875
102309	2/2-PRAMIPEXOLE IN BIPOLAR DISORDER: TARGETING COGNITION		NIMH	8759812	1R01MH102309-01A1	1	R01	MH	1	A1		3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2014	294875		294875
87992	2/2-RARE BIPOLAR LOCI IDENTIFICATION THROUGH SYNAPTOME SEQUENCING.		NIMH	8626446	5R01MH087992-05	5	R01	MH	5			7864920	MCCOMBIE, WILLIAM RICHARD	MCCOMBIE, WILLIAM RICHARD	19	Not Applicable	Cold Spring Harbor	 	2014	347879		347879
87992	2/2-RARE BIPOLAR LOCI IDENTIFICATION THROUGH SYNAPTOME SEQUENCING.		NIMH	8435476	5R01MH087992-04	5	R01	MH	4			7864920	MCCOMBIE, WILLIAM RICHARD	MCCOMBIE, WILLIAM RICHARD	19	Not Applicable	Cold Spring Harbor	 	2013	344653		344653
87992	2/2-RARE BIPOLAR LOCI IDENTIFICATION THROUGH SYNAPTOME SEQUENCING.		NIMH	8269711	5R01MH087992-03	5	R01	MH	3			7864920	MCCOMBIE, WILLIAM RICHARD	MCCOMBIE, WILLIAM RICHARD	19	Not Applicable	Cold Spring Harbor	 	2012	1069587		1069587
87992	2/2-RARE BIPOLAR LOCI IDENTIFICATION THROUGH SYNAPTOME SEQUENCING.		NIMH	8116675	5R01MH087992-02	5	R01	MH	2			7864920	MCCOMBIE, WILLIAM RICHARD	MCCOMBIE, WILLIAM RICHARD	19	Not Applicable	Cold Spring Harbor	 	2011	1039526		1039526
87992	2/2-RARE BIPOLAR LOCI IDENTIFICATION THROUGH SYNAPTOME SEQUENCING.		NIMH	8006117	1R01MH087992-01A1	1	R01	MH	1	A1		7864920	MCCOMBIE, WILLIAM RICHARD	MCCOMBIE, WILLIAM RICHARD	19	Not Applicable	Cold Spring Harbor	 	2010	1135298		1135298
105084	2/3-COGNITIVE BEHAVIORAL SOCIAL SKILLS TRAINING FOR YOUTH AT RISK OF PSYCHOSIS		NIMH	8786233	1R01MH105084-01	1	R01	MH	1			1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2014	434310		434310
102313	2/3-SOCIAL PROCESSES INITIATIVE IN NEUROBIOLOGY OF THE SCHIZOPHRENIA(S)		NIMH	8890889	5R01MH102313-02	5	R01	MH	2			3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2015	379125		379125
102313	2/3-SOCIAL PROCESSES INITIATIVE IN NEUROBIOLOGY OF THE SCHIZOPHRENIA(S)		NIMH	8758171	1R01MH102313-01A1	1	R01	MH	1	A1		3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2014	376728		376728
78720	2008 CSHL GENE EXPRESSION AND SIGNALING IN THE IMMUNE SYSTEM CONFERENCE		NIAID	8239583	5R13AI078720-05	5	R13	AI	5			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	10000		10000
78720	2008 CSHL GENE EXPRESSION AND SIGNALING IN THE IMMUNE SYSTEM CONFERENCE		NIAID	8039236	5R13AI078720-04	5	R13	AI	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
78720	2008 CSHL GENE EXPRESSION AND SIGNALING IN THE IMMUNE SYSTEM CONFERENCE		NIAID	7789552	5R13AI078720-03	5	R13	AI	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	10000		10000
58377	2008 CSHL GERM CELLS CONFERENCE		NICHD	8308026	5R13HD058377-05	5	R13	HD	5			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	6000		6000
58377	2008 CSHL GERM CELLS CONFERENCE		NICHD	8078150	5R13HD058377-04	5	R13	HD	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
58377	2008 CSHL GERM CELLS CONFERENCE		NICHD	7862401	5R13HD058377-03	5	R13	HD	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	6000		6000
32154	2008 CSHL MOLECULAR GENETICS OF AGING CONFERENCE		NIA	8231362	5R13AG032154-05	5	R13	AG	5			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	31600		31600
32154	2008 CSHL MOLECULAR GENETICS OF AGING CONFERENCE		NIA	8039927	5R13AG032154-04	5	R13	AG	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
32154	2008 CSHL MOLECULAR GENETICS OF AGING CONFERENCE		NIA	7795788	5R13AG032154-03	5	R13	AG	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	30030		30030
3676	2008 THE BIOLOGY OF GENOMES CONFERENCE		NHGRI	8252219	5R13HG003676-08	5	R13	HG	8			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	39339		39339
3676	2008 THE BIOLOGY OF GENOMES CONFERENCE		NHGRI	8055304	5R13HG003676-07	5	R13	HG	7			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	39339		39339
3676	2008 THE BIOLOGY OF GENOMES CONFERENCE		NHGRI	7795877	5R13HG003676-06	5	R13	HG	6			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	38193		38193
85901	2009 CSHL HARNESSING IMMUNITY TO PREVENT AND TREAT DISEASE		NIAID	7806012	1R13AI085901-01	1	R13	AI	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	8000		8000
37223	2010 Cold Spring Harbor CONFERENCE ON MOLECULAR CHAPERONES AND STRESS		NIA	8068327	5R13AG037223-02	5	R13	AG	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
37223	2010 Cold Spring Harbor CONFERENCE ON MOLECULAR CHAPERONES AND STRESS		NIA	7916123	1R13AG037223-01	1	R13	AG	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	20000		20000
37223	2010 Cold Spring Harbor CONFERENCE ON MOLECULAR CHAPERONES AND STRESS 		NIA	8258755	5R13AG037223-03	5	R13	AG	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	20602		20602
150295	2010 Cold Spring Harbor CONFERENCE ON SYSTEMS BIOLOGY: GLOBAL REGULATI		NCI	8444667	5R13CA150295-03	5	R13	CA	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2014	5000		5000
150295	2010 Cold Spring Harbor CONFERENCE ON SYSTEMS BIOLOGY: GLOBAL REGULATI		NCI	8034857	5R13CA150295-02	5	R13	CA	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	5000		5000
150295	2010 Cold Spring Harbor CONFERENCE ON SYSTEMS BIOLOGY: GLOBAL REGULATI		NCI	7907229	1R13CA150295-01	1	R13	CA	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	5000		5000
93545	2010 Cold Spring Harbor SYMPOSIUM ON QUANTITATIVE BIOLOGY: NUCLEAR ORG		NIGMS	7914886	1R13GM093545-01	1	R13	GM	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	10000		10000
71658	2010 CSHL AXON GUIDANCE;SYNAPTIC PLASTICITY AND REGENERATION CONFERENCE		NINDS	8003413	1R13NS071658-01	1	R13	NS	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	10000		10000
76086	2011 COLD SPRING HARBOR CONFERENCE ON NEUROBIOLOGY OF DROSOPHILA		NINDS	8201856	1R13NS076086-01	1	R13	NS	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	15000		15000
39150	2011 COLD SPRING HARBOR CONFERENCE ON TELOMERES AND TELOMERASE		NIA	8062946	1R13AG039150-01	1	R13	AG	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	30625		30625
96767	2011 CONFERENCE ON MICROBIAL PATHOGENESIS AND HOST RESPONSE		NIAID	8204142	1R13AI096767-01	1	R13	AI	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	15000		15000
77383	2011 CSHL CONFERENCE ON SYNAPSES: FROM MOLECULES TO CIRCUITS & BEHAVIOR		NIMH	8610947	5R13MH077383-09	5	R13	MH	9			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2014	1		1
77383	2011 CSHL CONFERENCE ON SYNAPSES: FROM MOLECULES TO CIRCUITS & BEHAVIOR		NIMH	8412788	5R13MH077383-08	5	R13	MH	8			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2013	14400		14400
77383	2011 CSHL CONFERENCE ON SYNAPSES: FROM MOLECULES TO CIRCUITS & BEHAVIOR		NIMH	8243522	5R13MH077383-07	5	R13	MH	7			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	1		1
77383	2011 CSHL CONFERENCE ON SYNAPSES: FROM MOLECULES TO CIRCUITS & BEHAVIOR		NIMH	8118673	2R13MH077383-06	2	R13	MH	6			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	20000		20000
6410	2011 CSHL GENOME INFORMATICS CONFERENCE		NHGRI	8204325	1R13HG006410-01	1	R13	HG	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	30990		30990
98386	2011 CSHL HARNESSING IMMUNITY TO PREVENT AND TREAT DISEASE CONFERENCE		NIAID	8257361	1R13AI098386-01	1	R13	AI	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	10000		10000
97947	2011 CSHL YEAST CELL BIOLOGY CONFERENCE		NIGMS	8850872	5R13GM097947-05	5	R13	GM	5			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2015	5000		5000
