Inst	Lead PI	Member #	NIH Total (2010-2015)	NCI Total (2010-2015)	Other NIH (2010-2015)	NIH 2010	NCI 2010	Other NIH 2010	NIH 2011	NCI 2011	Other NIH 2011	NIH 2012	NCI 2012	Other NIH 2012	NIH 2013	NCI 2013	Other NIH 2103	NIH 2014	NCI 2014	Other NIH 2014	NIH 2015	NCI 2015	Other NIH 2015
CSH	HANNON, GREGORY J	10	41266721	35326394	5940327	10319327	7356079	2963248	6074176	5724574	349602	6649410	5751195	898215	5961971	5312415	649556	6529807	5450101	1079706	5732030	5732030	0
CSH	POWERS, SCOTT	22	11696886	11696886	0	3243064	3243064	0	910549	910549	0	1848928	1848928	0	1982779	1982779	0	1831235	1831235	0	1880331	1880331	0
CSH	TONKS, NICHOLAS K	29	6526716	4406077	2120639	1121540	712640	408900	1092202	687770	404432	1196291	761643	434648	1145636	721714	423922	745634	745634	0	1225413	776676	448737
CSH	LOWE, SCOTT W.		8652242	8299109	353133	2408288	2055155	353133	1989224	1989224	0	1530207	1530207	0	1448857	1448857	0	632154	632154	0	643512	643512	0
CSH	STILLMAN, BRUCE W.	28	45720936	42364578	3356358	5615871	4970981	644890	9910493	9272349	638144	9998705	9302305	696400	9415424	8739225	676199	10150782	9450057	700725	629661	629661	0
CSH	KRAINER, ADRIAN R	14	7585299	3501813	4083486	1286979	630042	656937	595451	595451	0	1532632	568687	963945	1528631	546399	982232	1307154	572796	734358	1334452	588438	746014
CSH	VAKOC, CHRISTOPHER	32	1639385	1639385	0	0	0	0	0	0	0	0	0	0	549047	549047	0	532576	532576	0	557762	557762	0
CSH	SPECTOR, DAVID L	26	6164048	1732613	4431435	771494	0	771494	687053	0	687053	1172543	432183	740360	1142327	422163	720164	1172301	426017	746284	1218330	452250	766080
CSH	TUVESON, DAVID A.	31	1360656	1360656	0	0	0	0	0	0	0	0	0	0	0	0	0	955711	955711	0	404945	404945	0
CSH	EGEBLAD, MIKALA	4	1317295	1317295	0	0	0	0	0	0	0	357437	357437	0	312305	312305	0	310752	310752	0	336801	336801	0
CSH	GRODZICKER, TERRI I.		3387232	2217472	1169760	835301	462824	372477	463725	186496	277229	564821	419936	144885	551035	408067	142968	578060	420236	157824	394290	319913	74377
CSH	KRASNITZ, ALEXANDER	15	305558	305558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305558	305558	0
FIMR	DIEFENBACH, MICHAEL A	205	252477	252477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252477	252477	0
CSH	HWANG, CHANG-IL		56042	56042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56042	56042	0
CSH	BAKER, LINDSEY A		54194	54194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54194	54194	0
CSH	STEWART, DAVID J.		4317434	353832	3963602	583092	177268	405824	524107	100064	424043	723268	13500	709768	766929	19000	747929	818618	18000	800618	901420	26000	875420
FIMR	AL-ABED, YOUSEF		366799	0	366799	0	0	0	0	0	0	366799	0	366799	0	0	0	0	0	0	0	0	0
FIMR	ARANOW, CYNTHIA		300226	0	300226	47476	0	47476	0	0	0	0	0	0	0	0	0	168500	0	168500	84250	0	84250
FIMR	ARGYELAN, MIKLOS		8479	0	8479	8479	0	8479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	BLADER, JOSEPH C		50447	0	50447	50447	0	50447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	BLOOM, ONA		185927	0	185927	20793	0	20793	0	0	0	83833	0	83833	81301	0	81301	0	0	0	0	0	0
FIMR	BONAGURA, VINCENT ROBERT		2626492	0	2626492	626052	0	626052	178418	0	178418	190593	0	190593	931987	0	931987	699442	0	699442	0	0	0
FIMR	BRAGA, RAPHAEL J		216960	0	216960	16110	0	16110	200850	0	200850	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	BREGMAN, JOEL DONALD		848	0	848	848	0	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	BUDMAN, CATHY		15261	0	15261	15261	0	15261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	BURDICK, KATHERINE ELIZABETH		239970	0	239970	155393	0	155393	84577	0	84577	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	CARBON-CORRELL, MAREN		2120	0	2120	2120	0	2120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	CHAVAN, SANGEETA S		438732	0	438732	0	0	0	0	0	0	0	0	0	0	0	0	438732	0	438732	0	0	0
FIMR	CHEN, ANDREW C.		179474	0	179474	0	0	0	0	0	0	0	0	0	0	0	0	179474	0	179474	0	0	0
FIMR	CHEN, ELI		191	0	191	191	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	CHIORAZZI, NICHOLAS	63	1060075	943073	117002	437775	320773	117002	311150	311150	0	311150	311150	0	0	0	0	0	0	0	0	0	0
FIMR	COMPTON, MICHAEL T		1976851	0	1976851	0	0	0	0	0	0	0	0	0	243975	0	243975	1147040	0	1147040	585836	0	585836
FIMR	CORNBLATT, BARBARA A.		4648798	0	4648798	972264	0	972264	954696	0	954696	1056960	0	1056960	301790	0	301790	1363088	0	1363088	0	0	0
FIMR	CORRELL, CHRISTOPH U		1554450	0	1554450	266346	0	266346	451667	0	451667	526369	0	526369	157680	0	157680	152388	0	152388	0	0	0
FIMR	CZURA, CHRISTOPHER J		492005	0	492005	0	0	0	492005	0	492005	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	D'AMORE, JASON		8690	0	8690	8690	0	8690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	DAVIDSON, ANNE		5883735	0	5883735	1332984	0	1332984	1099435	0	1099435	955624	0	955624	955786	0	955786	1015118	0	1015118	524788	0	524788
FIMR	DAVIES, PETER P		1675399	0	1675399	336897	0	336897	323826	0	323826	323826	0	323826	345425	0	345425	345425	0	345425	0	0	0
FIMR	DEGIORGIO, LORRAINE A		497118	0	497118	106309	0	106309	183260	0	183260	207549	0	207549	0	0	0	0	0	0	0	0	0
FIMR	DEROSSE, PAMELA		810154	0	810154	78192	0	78192	249000	0	249000	246787	0	246787	236175	0	236175	0	0	0	0	0	0
FIMR	DEWEY, STEPHEN L		268272	0	268272	134136	0	134136	134136	0	134136	0	0	0	0	0	0	0	0	0	0	0	0
FIMR	DHAWAN, VIJAY		674552	0	674552	131694	0	131694	135645	0	135645	136824	0	136824	132978	0	132978	137411	0	137411	0	0	0
FIMR	DIAMOND, BETTY		18777443	0	18777443	3649906	0	3649906	3838833	0	3838833	3227266	0	3227266	591276	0	591276	7247742	0	7247742	222420	0	222420
FIMR	DRUZ, DAVID S		3815	0	3815	3815	0	3815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
